"","Condition","Date","Count","logCount","Species"
"1","Bleach","1",40000,4.6,"SE"
"2","Bleach","1",540,2.73,"SE"
"3","Bleach","1",2400,3.38,"SE"
"4","Bleach","1",18000,4.26,"SE"
"5","Bleach","1",260,2.42,"SE"
"6","Bleach","1",52000,4.72,"SE"
"7","Bleach","1",360,2.56,"SE"
"8","Bleach","1",3200,3.51,"SE"
"9","Bleach","1",400,2.6,"SE"
"10","Bleach","1",28000,4.45,"SE"
"11","Bleach","1",66000,4.82,"SE"
"12","Bleach","1",54000,4.73,"SE"
"13","Bleach","1",1400,3.15,"SE"
"14","Bleach","1",88000,4.94,"SE"
"15","Bleach","1",1600,3.2,"SE"
"16","Bleach","1",66000,4.82,"SE"
"17","Bleach","1",380,2.58,"SE"
"18","Bleach","1",50000,4.7,"SE"
"19","NoBleach","1",80,1.91,"SE"
"20","NoBleach","1",420,2.62,"SE"
"21","NoBleach","1",3600,3.56,"SE"
"22","NoBleach","1",58000,4.76,"SE"
"23","NoBleach","1",4800,3.68,"SE"
"24","NoBleach","1",260,2.42,"SE"
"25","NoBleach","1",76000,4.88,"SE"
"26","NoBleach","1",120000,5.08,"SE"
"27","NoBleach","1",5200,3.72,"SE"
"28","NoBleach","1",60,1.79,"SE"
"29","NoBleach","1",500,2.7,"SE"
"30","NoBleach","1",36000,4.56,"SE"
"31","NoBleach","1",340,2.53,"SE"
"32","NoBleach","1",380,2.58,"SE"
"33","NoBleach","1",66000,4.82,"SE"
"34","NoBleach","1",120000,5.08,"SE"
"35","NoBleach","1",120,2.08,"SE"
"36","NoBleach","1",1600,3.2,"SE"
"37","NoBleach","1",1200,3.08,"SE"
"38","NoBleach","1",220,2.34,"SE"
"39","NoBleach","1",60,1.79,"SE"
"40","NoBleach","1",140000,5.15,"SE"
"41","NoBleach","1",20000,4.3,"SE"
"42","Bleach","2",400,2.6,"SE"
"43","Bleach","2",800,2.9,"SE"
"44","Bleach","2",200,2.3,"SE"
"45","Bleach","2",54000,4.73,"SE"
"46","Bleach","2",6000,3.78,"SE"
"47","NoBleach","2",1000,3,"SE"
"48","NoBleach","2",400,2.6,"SE"
"49","NoBleach","2",600,2.78,"SE"
"51","NoBleach","2",42000,4.62,"SE"
"52","NoBleach","2",24000,4.38,"SE"
"53","NoBleach","2",3000,3.48,"SE"
"54","NoBleach","2",600,2.78,"SE"
"55","NoBleach","2",1400,3.15,"SE"
"56","NoBleach","2",34000,4.53,"SE"
"57","NoBleach","2",200,2.3,"SE"
"58","NoBleach","2",36000,4.56,"SE"
"59","NoBleach","2",520000,5.72,"SE"
"61","NoBleach","2",50000,4.7,"SE"
"62","NoBleach","2",18000,4.26,"SE"
