Species	Batch	CFU	logCFU
SA	1	50000	4.698970004
SA	1	42000	4.62324929
SA	1	70000	4.84509804
SA	1	40	1.602059991
SA	1	460	2.662757832
SA	1	60	1.77815125
SA	1	400	2.602059991
SA	1	102000	5.008600172
SA	1	42000	4.62324929
SA	1	5800	3.763427994
SA	1	5200	3.716003344
SA	1	4600	3.662757832
SA	1	20	1.301029996
SA	1	1400	3.146128036
SA	1	10200	4.008600172
SA	1	14000	4.146128036
SA	1	16200	4.209515015
SA	1	17000	4.230448921
SA	1	780	2.892094603
SA	1	3600	3.556302501
SA	1	88000	4.944482672
SA	1	0	0
SA	1	2000	3.301029996
SA	1	40	1.602059991
SA	1	9200	3.963787827
SA	1	58000	4.763427994
SA	5	40	1.602059991
SA	5	36000	4.556302501
SA	5	8400	3.924279286
SA	5	34400	4.536558443
SA	5	32800	4.515873844
SA	5	60000	4.77815125
SA	5	68000	4.832508913
SA	5	92000	4.963787827
SA	5	88000	4.944482672
SA	5	84000	4.924279286
SA	5	60000	4.77815125
SA	5	14800	4.170261715
SA	5	6000	3.77815125
SA	5	10400	4.017033339
SA	5	40000	4.602059991
SA	5	35600	4.551449998
SA	5	44000	4.643452676
SA	5	10800	4.033423755
SA	5	240	2.380211242
SA	5	12000	4.079181246
SA	5	24000	4.380211242
SA	5	16800	4.225309282
SA	5	32000	4.505149978
SA	5	19600	4.292256071
SA	25	57600	4.760422483
SA	25	65600	4.816903839
SA	25	73600	4.866877814
SA	25	41600	4.619093331
SA	25	32800	4.515873844
SA	25	21600	4.334453751
SA	25	55200	4.741939078
SA	25	57600	4.760422483
SA	25	73600	4.866877814
SA	25	52800	4.722633923
SA	25	33600	4.526339277
SA	25	79200	4.898725182
SA	25	39200	4.593286067
SA	25	31200	4.494154594
SA	25	61600	4.789580712
SA	25	37600	4.575187845
SA	25	43200	4.635483747
SA	25	44800	4.651278014
SA	25	51200	4.709269961
SA	25	37600	4.575187845
SA	25	60000	4.77815125
SA	25	60800	4.783903579
SA	25	48800	4.688419822
SA	25	52000	4.716003344
SE	1	580	2.763427994
SE	1	142000	5.152288344
SE	1	20	1.301029996
SE	1	68000	4.832508913
SE	1	0	0
SE	1	13000	4.113943352
SE	1	106000	5.025305865
SE	1	3400	3.531478917
SE	1	38000	4.579783597
SE	1	4600	3.662757832
SE	1	78000	4.892094603
SE	1	700	2.84509804
SE	1	2600	3.414973348
SE	1	46000	4.662757832
SE	1	1440	3.158362492
SE	1	3800	3.579783597
SE	1	10200	4.008600172
SE	1	54000	4.73239376
SE	1	124000	5.093421685
SE	1	9800	3.991226076
SE	1	302000	5.480006943
SE	1	82000	4.913813852
SE	5	268000	5.428134794
SE	5	356000	5.551449998
SE	5	460000	5.662757832
SE	5	72000	4.857332496
SE	5	88000	4.944482672
SE	5	148000	5.170261715
SE	5	64000	4.806179974
SE	5	44000	4.643452676
SE	5	32400	4.51054501
SE	25	73600	4.866877814
SE	25	75200	4.876217841
SE	25	70400	4.847572659
SE	25	100000	5
SE	25	88800	4.948412966
SE	25	77600	4.889861721
SE	25	84000	4.924279286
SE	25	82400	4.915927212
SE	25	93600	4.971275849
SE	25	83200	4.920123326
SE	25	82400	4.915927212
SE	25	88000	4.944482672
SE	25	104800	5.020361283
SE	25	75200	4.876217841
SE	25	82400	4.915927212
SE	25	73600	4.866877814
SE	25	103200	5.013679697
